REF,parcours_norm,sexe,age,tranche_age,dep_code,is_local_13,lead_days,has_club,promo_used,present,segment
397088,21km,H,32,25-34,13,True,9,False,False,True,4
397102,12km,H,25,25-34,13,True,9,False,False,True,2
397133,12km,H,34,25-34,13,True,9,False,False,True,2
397147,21km,H,36,35-44,13,True,9,False,False,False,4
397179,12km,H,23,18-24,13,True,9,False,False,True,2
397185,12km,H,48,45-54,13,True,9,False,False,True,2
397193,21km,H,47,45-54,13,True,9,False,False,True,4
397199,12km,F,48,45-54,13,True,9,False,False,True,2
397201,12km,H,39,35-44,13,True,9,False,False,True,2
397283,12km,H,24,18-24,13,True,8,False,False,True,2
397313,12km,H,38,35-44,92,False,8,False,False,True,1
397320,12km,F,52,45-54,13,True,8,False,False,True,2
397326,12km,F,56,55-64,13,True,8,False,False,True,2
397343,12km,H,54,45-54,13,True,8,False,False,True,2
397348,12km,H,59,55-64,13,True,8,False,False,True,2
397368,12km,H,35,35-44,13,True,8,False,False,False,2
397378,21km,H,27,25-34,13,True,8,False,False,True,4
397383,21km,H,33,25-34,13,True,8,True,True,True,0
397385,12km,H,33,25-34,42,False,8,True,True,True,0
397398,12km,F,23,18-24,13,True,8,False,True,True,3
397406,12km,H,23,18-24,13,True,8,False,True,True,3
397408,21km,H,42,35-44,13,True,8,True,False,True,0
397423,12km,F,22,18-24,13,True,8,False,False,True,2
397446,12km,F,23,18-24,13,True,8,False,False,True,2
397448,12km,H,39,35-44,13,True,8,False,False,True,2
397462,12km,H,43,35-44,13,True,8,False,False,True,2
397484,12km,F,22,18-24,13,True,8,False,False,True,2
397510,12km,H,35,35-44,13,True,8,False,False,True,2
397512,21km,H,33,25-34,13,True,8,False,True,False,3
397546,12km,H,24,18-24,13,True,8,False,True,True,3
397561,12km,F,52,45-54,13,True,8,False,False,True,2
397569,21km,H,34,25-34,13,True,8,False,False,True,4
397570,12km,H,30,25-34,13,True,8,False,False,True,2
397578,12km,H,46,45-54,13,True,8,True,False,True,0
397596,12km,H,43,35-44,13,True,8,True,False,True,0
397649,21km,F,37,35-44,13,True,8,False,True,True,3
397659,21km,F,47,45-54,13,True,8,False,False,True,4
397668,12km,F,71,65+,13,True,8,False,True,True,3
397677,12km,F,35,35-44,13,True,8,False,False,True,2
397690,12km,H,86,65+,13,True,8,False,True,True,3
397728,21km,H,39,35-44,13,True,8,False,False,True,4
397746,12km,H,40,35-44,13,True,8,False,False,True,2
397767,21km,H,55,55-64,13,True,8,False,True,False,3
397791,12km,F,32,25-34,13,True,8,False,False,True,2
397796,21km,H,47,45-54,83,False,8,False,False,True,1
